base judge R  Y/X  θ  ,E      ,ol1   ,ol2   ,ol3   ,ol4   ,ol5   ,ol6   ,ol7   ,ol8
1 F 0.0 0.00 0.00     ,-21.88 ,0.70  ,-0.29 ,-0.33 ,0.14  ,0.14  ,-0.28 ,0.21  ,0.08
2 F 1.0 0.00 0.00     ,-15.33 ,0.71  ,-0.22 ,-0.15 ,0.08  ,0.01  ,-0.02 ,0.03  ,-0.08
3 F 1.0 0.00 0.00     ,-24.19 ,0.80  ,-0.30 ,-0.30 ,0.13  ,0.10  ,-0.21 ,0.15  ,0.03
4 F 2.0 0.00 0.00     ,-16.70 ,0.74  ,-0.16 ,-0.05 ,0.10  ,-0.06 ,0.03  ,0.05  ,-0.15
5 F 2.0 0.00 0.00     ,-25.99 ,0.85  ,-0.29 ,-0.27 ,0.12  ,0.08  ,-0.18 ,0.14  ,0.02
6 F 3.0 0.00 0.00     ,-15.16 ,0.66  ,-0.03 ,0.12  ,0.12  ,-0.16 ,0.10  ,0.09  ,-0.23
7 F 3.0 0.00 0.00     ,-26.04 ,0.90  ,-0.24 ,-0.18 ,0.09  ,0.03  ,-0.10 ,0.09  ,0.00
8 F 4.0 0.00 0.00     ,-14.70 ,0.53  ,0.14  ,0.30  ,0.15  ,-0.24 ,0.14  ,0.15  ,-0.26
9 F 4.0 0.00 0.00     ,-21.39 ,0.84  ,-0.10 ,-0.00 ,0.01  ,-0.05 ,0.02  ,0.01  ,0.03
10 F 5.0 0.00 0.00    ,-14.37 ,0.40  ,0.32  ,0.41  ,0.19  ,-0.26 ,0.11  ,0.23  ,-0.17
11 F 5.0 0.00 0.00    ,-14.85 ,0.61  ,0.12  ,0.18  ,-0.11 ,-0.12 ,0.08  ,-0.05 ,0.16
12 F 6.0 0.00 0.00    ,-13.45 ,0.27  ,0.46  ,0.37  ,0.22  ,-0.19 ,0.02  ,0.27  ,0.04
13 F 6.0 0.00 0.00    ,-12.10 ,0.36  ,0.30  ,0.20  ,-0.22 ,-0.13 ,0.03  ,-0.03 ,0.33
14 F 7.0 0.00 0.00    ,-12.97 ,0.17  ,0.54  ,0.17  ,0.24  ,-0.09 ,-0.05 ,0.24  ,0.26
15 F 7.0 0.00 0.00    ,-11.69 ,0.20  ,0.39  ,0.08  ,-0.29 ,-0.13 ,-0.07 ,0.05  ,0.44
16 F 8.0 0.00 0.00    ,-12.88 ,0.10  ,0.55  ,-0.10 ,0.25  ,-0.03 ,-0.01 ,0.13  ,0.36
17 F 8.0 0.00 0.00    ,-11.76 ,0.11  ,0.42  ,-0.12 ,-0.33 ,-0.16 ,-0.12 ,0.15  ,0.39
18 F 9.0 0.00 0.00    ,-12.90 ,0.06  ,0.51  ,-0.35 ,0.23  ,-0.04 ,0.11  ,-0.01 ,0.29
19 F 9.0 0.00 0.00    ,-11.86 ,0.06  ,0.39  ,-0.31 ,-0.33 ,-0.24 ,-0.10 ,0.22  ,0.18
20 F 10.0 0.00 0.00   ,-12.93 ,0.03  ,0.43  ,-0.50 ,0.20  ,-0.10 ,0.28  ,-0.13 ,0.10
21 F 10.0 0.00 0.00   ,-11.94 ,0.03  ,0.33  ,-0.42 ,-0.29 ,-0.32 ,-0.01 ,0.25  ,-0.09
22 F 11.0 0.00 0.00   ,-12.95 ,0.02  ,0.32  ,-0.52 ,0.16  ,-0.16 ,0.39  ,-0.20 ,-0.10
23 F 11.0 0.00 0.00   ,-12.00 ,0.02  ,0.25  ,-0.43 ,-0.23 ,-0.35 ,0.08  ,0.24  ,-0.32
24 F 12.0 0.00 0.00   ,-12.96 ,0.01  ,0.21  ,-0.43 ,0.12  ,-0.18 ,0.41  ,-0.20 ,-0.22
25 F 12.0 0.00 0.00   ,-12.04 ,0.01  ,0.17  ,-0.35 ,-0.16 ,-0.33 ,0.13  ,0.19  ,-0.41
26 T 1.0 1.00 90.00   ,-14.81 ,-0.70 ,0.22  ,0.17  ,-0.08 ,-0.02 ,0.03  ,-0.02 ,0.06
27 T 2.0 0.00 0.00    ,9.73   ,-0.07 ,-0.09 ,-0.16 ,-0.11 ,0.14  ,-0.03 ,-0.15 ,0.19
28 T 2.0 1.00 0.00    ,9.69   ,-0.08 ,-0.09 ,-0.17 ,-0.11 ,0.14  ,-0.03 ,-0.15 ,0.19
29 T 2.0 1.00 63.64   ,-17.58 ,-0.74 ,0.22  ,0.15  ,-0.07 ,-0.01 ,0.01  ,-0.01 ,0.07
30 T 2.0 1.00 90.00   ,-17.56 ,-0.74 ,0.22  ,0.15  ,-0.07 ,-0.01 ,0.01  ,-0.01 ,0.07
31 T 3.0 0.00 0.00    ,3.73   ,-0.09 ,-0.11 ,-0.20 ,-0.13 ,0.16  ,-0.03 ,-0.18 ,0.22
32 T 3.0 0.58 0.00    ,3.23   ,-0.09 ,-0.11 ,-0.20 ,-0.14 ,0.16  ,-0.03 ,-0.19 ,0.22
33 T 3.0 0.58 60.00   ,-21.00 ,-0.80 ,0.19  ,0.08  ,-0.07 ,0.04  ,-0.05 ,0.01  ,0.12
34 T 3.0 0.58 90.00   ,-20.95 ,-0.80 ,0.19  ,0.09  ,-0.07 ,0.04  ,-0.05 ,0.01  ,0.12
35 T 3.0 1.73 0.00    ,5.10   ,-0.09 ,-0.11 ,-0.20 ,-0.14 ,0.16  ,-0.04 ,-0.19 ,0.21
36 T 3.0 1.73 34.64   ,-15.78 ,-0.75 ,0.15  ,0.03  ,-0.10 ,0.06  ,-0.05 ,-0.04 ,0.16
37 T 3.0 1.73 69.28   ,-19.04 ,-0.78 ,0.20  ,0.11  ,-0.06 ,0.01  ,-0.04 ,0.02  ,0.09
38 T 3.0 1.73 90.00   ,-19.04 ,-0.78 ,0.21  ,0.12  ,-0.05 ,0.01  ,-0.04 ,0.03  ,0.09
39 T 4.0 0.00 0.00    ,-2.41  ,-0.10 ,-0.14 ,-0.24 ,-0.17 ,0.19  ,-0.02 ,-0.23 ,0.26
40 T 4.0 0.41 0.00    ,-3.56  ,-0.10 ,-0.15 ,-0.25 ,-0.18 ,0.19  ,-0.02 ,-0.24 ,0.26
41 T 4.0 0.41 58.80   ,-16.79 ,-0.73 ,0.05  ,-0.12 ,-0.11 ,0.16  ,-0.11 ,-0.05 ,0.23
42 T 4.0 0.41 90.00   ,-17.83 ,-0.76 ,0.07  ,-0.09 ,-0.10 ,0.14  ,-0.11 ,-0.03 ,0.22
43 T 4.0 1.00 0.00    ,-2.32  ,-0.10 ,-0.15 ,-0.25 ,-0.18 ,0.19  ,-0.03 ,-0.25 ,0.25
44 T 4.0 1.00 31.82   ,-22.40 ,-0.84 ,0.13  ,-0.02 ,-0.05 ,0.09  ,-0.13 ,0.03  ,0.15
45 T 4.0 1.00 63.64   ,-23.46 ,-0.85 ,0.17  ,0.03  ,-0.02 ,0.05  ,-0.12 ,0.08  ,0.12
46 T 4.0 1.00 90.00   ,-23.14 ,-0.84 ,0.17  ,0.04  ,-0.02 ,0.05  ,-0.12 ,0.08  ,0.11
47 T 4.0 2.41 0.00    ,3.11   ,-0.09 ,-0.14 ,-0.23 ,-0.16 ,0.17  ,-0.04 ,-0.23 ,0.23
48 T 4.0 2.41 24.35   ,-0.34  ,-0.39 ,-0.06 ,-0.19 ,-0.15 ,0.16  ,-0.08 ,-0.18 ,0.24
49 T 4.0 2.41 48.71   ,-13.99 ,-0.74 ,0.10  ,-0.04 ,-0.07 ,0.08  ,-0.11 ,-0.01 ,0.17
50 T 4.0 2.41 73.06   ,-16.48 ,-0.77 ,0.15  ,0.03  ,-0.03 ,0.03  ,-0.11 ,0.05  ,0.12
51 T 4.0 2.41 90.00   ,-16.54 ,-0.76 ,0.16  ,0.04  ,-0.02 ,0.03  ,-0.11 ,0.06  ,0.11
52 T 5.0 0.00 0.00    ,-7.11  ,-0.11 ,-0.19 ,-0.29 ,-0.23 ,0.22  ,0.01  ,-0.28 ,0.30
53 T 5.0 0.32 0.00    ,-8.96  ,-0.12 ,-0.21 ,-0.31 ,-0.24 ,0.23  ,0.00  ,-0.30 ,0.30
54 T 5.0 0.32 58.25   ,-12.00 ,-0.46 ,-0.14 ,-0.30 ,-0.18 ,0.24  ,-0.08 ,-0.17 ,0.30
55 T 5.0 0.32 90.00   ,-12.59 ,-0.52 ,-0.12 ,-0.29 ,-0.16 ,0.24  ,-0.10 ,-0.13 ,0.29
56 T 5.0 0.73 0.00    ,-8.61  ,-0.12 ,-0.22 ,-0.32 ,-0.26 ,0.22  ,-0.01 ,-0.32 ,0.29
57 T 5.0 0.73 30.62   ,-23.04 ,-0.85 ,0.02  ,-0.15 ,0.04  ,0.14  ,-0.21 ,0.13  ,0.10
58 T 5.0 0.73 61.25   ,-24.40 ,-0.86 ,0.05  ,-0.13 ,0.02  ,0.13  ,-0.21 ,0.13  ,0.14
59 T 5.0 0.73 90.00   ,-23.46 ,-0.85 ,0.06  ,-0.12 ,0.02  ,0.12  ,-0.20 ,0.13  ,0.15
60 T 5.0 1.38 0.00    ,-4.07  ,-0.11 ,-0.20 ,-0.29 ,-0.23 ,0.19  ,-0.03 ,-0.30 ,0.26
61 T 5.0 1.38 22.25   ,-7.45  ,-0.43 ,-0.15 ,-0.29 ,-0.18 ,0.19  ,-0.11 ,-0.20 ,0.26
62 T 5.0 1.38 44.50   ,-18.50 ,-0.78 ,0.01  ,-0.17 ,-0.03 ,0.13  ,-0.20 ,0.03  ,0.18
63 T 5.0 1.38 66.75   ,-20.72 ,-0.81 ,0.08  ,-0.09 ,0.02  ,0.07  ,-0.21 ,0.12  ,0.13
64 T 5.0 1.38 90.00   ,-20.18 ,-0.80 ,0.10  ,-0.06 ,0.03  ,0.06  ,-0.21 ,0.14  ,0.12
65 T 5.0 3.08 0.00    ,3.39   ,-0.09 ,-0.17 ,-0.24 ,-0.19 ,0.15  ,-0.03 ,-0.26 ,0.22
66 T 5.0 3.08 18.93   ,2.91   ,-0.18 ,-0.15 ,-0.25 ,-0.18 ,0.15  ,-0.06 ,-0.24 ,0.23
67 T 5.0 3.08 37.85   ,-1.44  ,-0.44 ,-0.08 ,-0.22 ,-0.13 ,0.13  ,-0.13 ,-0.14 ,0.23
68 T 5.0 3.08 56.78   ,-7.67  ,-0.63 ,0.02  ,-0.13 ,-0.04 ,0.08  ,-0.17 ,0.00  ,0.17
69 T 5.0 3.08 75.71   ,-9.02  ,-0.65 ,0.07  ,-0.07 ,0.01  ,0.04  ,-0.18 ,0.08  ,0.13
70 T 5.0 3.08 90.00   ,-9.03  ,-0.65 ,0.08  ,-0.05 ,0.01  ,0.03  ,-0.18 ,0.09  ,0.12
71 T 6.0 0.00 0.00    ,-9.43  ,-0.11 ,-0.24 ,-0.33 ,-0.29 ,0.23  ,0.05  ,-0.31 ,0.32
72 T 6.0 0.27 0.00    ,-11.93 ,-0.12 ,-0.27 ,-0.35 ,-0.32 ,0.24  ,0.05  ,-0.35 ,0.32
73 T 6.0 0.27 57.96   ,-12.71 ,-0.29 ,-0.26 ,-0.39 ,-0.26 ,0.27  ,-0.01 ,-0.25 ,0.32
74 T 6.0 0.27 90.00   ,-12.41 ,-0.33 ,-0.25 ,-0.38 ,-0.23 ,0.27  ,-0.02 ,-0.22 ,0.32
75 T 6.0 0.58 0.00    ,-11.75 ,-0.13 ,-0.29 ,-0.36 ,-0.35 ,0.23  ,0.03  ,-0.39 ,0.29
76 T 6.0 0.58 30.00   ,-18.68 ,-0.68 ,-0.23 ,-0.39 ,-0.00 ,0.25  ,-0.19 ,0.02  ,0.11
77 T 6.0 0.58 60.00   ,-20.76 ,-0.73 ,-0.16 ,-0.35 ,0.02  ,0.22  ,-0.21 ,0.10  ,0.16
