base,gx,gy,gz
1,-0.00+0.00im,0.00+-0.00im,0.00+0.00im
2,0.00+0.00im,0.00+0.00im,0.00+0.00im
3,0.00+0.00im,0.00+0.00im,0.00+0.00im
4,0.00+0.00im,0.00+0.00im,-0.00+0.00im
5,-0.00+0.00im,0.00+0.00im,0.00+0.00im
6,-0.00+0.00im,0.00+0.00im,0.00+0.00im
7,0.00+0.00im,0.00+0.00im,0.00+0.00im
8,0.00+0.00im,0.00+0.00im,0.00+0.00im
9,0.00+0.00im,0.00+0.00im,0.00+0.00im
10,0.00+0.00im,0.00+0.00im,0.00+0.00im
11,0.00+0.00im,0.00+0.00im,0.00+0.00im
12,-0.00+0.00im,0.00+0.00im,0.00+0.00im
13,-0.00+0.00im,0.00+0.00im,0.00+0.00im
14,0.00+0.00im,0.00+0.00im,0.00+0.00im
15,0.00+0.00im,0.00+0.00im,0.00+0.00im
16,0.00+0.00im,0.00+0.00im,0.00+0.00im
17,0.00+0.00im,0.00+0.00im,0.00+0.00im
18,0.00+0.00im,0.00+0.00im,0.00+0.00im
19,0.00+0.00im,0.00+0.00im,-0.00+0.00im
20,-0.00+0.00im,0.00+0.00im,0.00+0.00im
21,0.00+0.00im,0.00+0.00im,-0.00+0.00im
22,0.00+0.00im,0.00+0.00im,0.00+0.00im
23,0.00+0.00im,0.00+0.00im,0.00+0.00im
24,0.00+0.00im,0.00+0.00im,0.00+0.00im
25,0.00+0.00im,0.00+0.00im,0.00+0.00im
26,0.00+0.00im,0.00+0.00im,0.00+0.00im
27,0.00+0.00im,0.00+0.00im,0.00+0.00im
28,0.00+0.00im,0.00+0.00im,0.00+0.00im
29,0.00+0.00im,0.00+0.00im,0.00+0.00im
30,-0.00+0.00im,0.00+0.00im,0.00+0.00im
31,0.00+0.00im,0.00+0.00im,0.00+0.00im
32,0.00+0.00im,0.00+0.00im,0.00+0.00im
33,-0.00+0.00im,0.00+0.00im,0.00+0.00im
34,-0.00+0.00im,0.00+0.00im,-0.00+0.00im
35,0.00+0.00im,0.00+0.00im,0.00+0.00im
36,0.00+0.00im,0.00+0.00im,0.00+0.00im
37,-0.00+0.00im,0.00+0.00im,0.00+0.00im
38,0.00+0.00im,0.00+0.00im,-0.00+0.00im
39,0.00+0.00im,0.00+0.00im,0.00+0.00im
40,0.00+0.00im,0.00+0.00im,0.00+0.00im
41,0.00+0.00im,0.00+0.00im,0.00+0.00im
42,0.00+0.00im,0.00+0.00im,0.00+0.00im
43,0.00+0.00im,0.00+0.00im,-0.00+0.00im
44,0.00+0.00im,0.00+0.00im,0.00+0.00im
45,-0.00+0.00im,0.00+0.00im,0.00+0.00im
46,0.00+0.00im,0.00+0.00im,0.00+0.00im
47,0.00+0.00im,0.00+0.00im,0.00+0.00im
48,0.00+0.00im,0.00+0.00im,0.00+0.00im
49,0.00+0.00im,0.00+0.00im,0.00+0.00im
50,0.00+0.00im,0.00+0.00im,0.00+0.00im
51,0.00+0.00im,0.00+0.00im,0.00+0.00im
52,0.00+0.00im,0.00+0.00im,-0.00+0.00im
53,0.00+0.00im,0.00+0.00im,-0.00+0.00im
54,0.00+0.00im,0.00+0.00im,0.00+0.00im
55,0.00+0.00im,0.00+0.00im,0.00+0.00im
56,0.00+0.00im,0.00+0.00im,-0.00+0.00im
57,0.00+0.00im,0.00+0.00im,-0.00+0.00im
58,-0.00+0.00im,0.00+0.00im,0.00+0.00im
59,0.00+0.00im,0.00+0.00im,0.00+0.00im
60,0.00+0.00im,0.00+0.00im,0.00+0.00im
61,0.00+0.00im,0.00+0.00im,0.00+0.00im
62,0.00+0.00im,0.00+0.00im,-0.00+0.00im
63,0.00+0.00im,0.00+0.00im,0.00+0.00im
64,-0.00+0.00im,0.00+0.00im,0.00+0.00im
65,0.00+0.00im,0.00+0.00im,0.00+0.00im
66,0.00+0.00im,0.00+0.00im,0.00+0.00im
67,0.00+0.00im,0.00+0.00im,0.00+0.00im
68,0.00+0.00im,0.00+0.00im,0.00+0.00im
69,-0.00+0.00im,0.00+0.00im,0.00+0.00im
70,-0.00+0.00im,0.00+0.00im,0.00+0.00im
71,0.00+0.00im,0.00+0.00im,0.00+0.00im
72,0.00+0.00im,0.00+0.00im,0.00+0.00im
73,0.00+0.00im,0.00+0.00im,-0.00+0.00im
74,0.00+0.00im,0.00+0.00im,-0.00+0.00im
75,0.00+0.00im,0.00+0.00im,0.00+0.00im
76,0.00+0.00im,0.00+0.00im,0.00+0.00im
77,-0.00+0.00im,0.00+0.00im,-0.00+0.00im
78,-0.00+0.00im,0.00+0.00im,0.00+0.00im
79,0.00+0.00im,0.00+0.00im,-0.00+0.00im
80,0.00+0.00im,0.00+0.00im,0.00+0.00im
81,-0.00+0.00im,0.00+0.00im,0.00+0.00im
82,-0.00+0.00im,0.00+0.00im,0.00+0.00im
83,0.00+0.00im,0.00+0.00im,0.00+0.00im
84,0.00+0.00im,0.00+0.00im,0.00+0.00im
85,0.00+0.00im,0.00+0.00im,0.00+0.00im
86,0.00+0.00im,0.00+0.00im,0.00+0.00im
87,-0.00+0.00im,0.00+0.00im,-0.00+0.00im
88,-0.00+0.00im,0.00+0.00im,0.00+0.00im
89,0.00+0.00im,0.00+0.00im,0.00+0.00im
90,0.00+0.00im,0.00+0.00im,0.00+0.00im
91,0.00+0.00im,0.00+0.00im,0.00+0.00im
92,-0.00+0.00im,0.00+0.00im,-0.00+0.00im
93,0.00+0.00im,0.00+0.00im,0.00+0.00im
94,0.00+0.00im,0.00+0.00im,0.00+0.00im
95,-0.00+0.00im,0.00+0.00im,0.00+0.00im
96,0.00+0.00im,0.00+0.00im,-0.00+0.00im
97,-0.00+0.00im,0.00+0.00im,0.00+0.00im
98,0.00+0.00im,0.00+0.00im,0.00+0.00im
99,-0.00+0.00im,0.00+0.00im,0.00+0.00im
100,-0.00+0.00im,0.00+0.00im,-0.00+0.00im
101,0.00+0.00im,0.00+0.00im,-0.00+0.00im
102,-0.00+0.00im,0.00+0.00im,0.00+0.00im
103,0.00+0.00im,0.00+0.00im,0.00+0.00im
104,0.00+0.00im,0.00+0.00im,-0.00+0.00im
105,0.00+0.00im,0.00+0.00im,-0.00+0.00im
106,0.00+0.00im,0.00+0.00im,0.00+0.00im
107,-0.00+0.00im,0.00+0.00im,-0.00+0.00im
108,0.00+0.00im,0.00+0.00im,0.00+0.00im
109,-0.00+0.00im,0.00+0.00im,0.00+0.00im
110,0.00+0.00im,0.00+0.00im,0.00+0.00im
111,-0.00+0.00im,0.00+0.00im,0.00+0.00im
112,0.00+0.00im,0.00+0.00im,0.00+0.00im
113,0.00+0.00im,0.00+0.00im,0.00+0.00im
114,-0.00+0.00im,0.00+0.00im,-0.00+0.00im
115,-0.00+0.00im,0.00+0.00im,0.00+0.00im
116,0.00+0.00im,0.00+0.00im,-0.00+0.00im
117,-0.00+0.00im,0.00+0.00im,-0.00+0.00im
118,0.00+0.00im,0.00+0.00im,0.00+0.00im
119,-0.00+0.00im,0.00+0.00im,0.00+0.00im
120,0.00+0.00im,0.00+0.00im,-0.00+0.00im
121,-0.00+0.00im,0.00+0.00im,-0.00+0.00im
122,-0.00+0.00im,0.00+0.00im,-0.00+0.00im
123,0.00+0.00im,0.00+0.00im,-0.00+0.00im
124,-0.00+0.00im,0.00+0.00im,-0.00+0.00im
125,0.00+0.00im,0.00+0.00im,0.00+0.00im
126,0.00+0.00im,0.00+0.00im,-0.00+0.00im
127,-0.00+0.00im,0.00+0.00im,-0.00+0.00im
128,0.00+0.00im,0.00+0.00im,0.00+0.00im
129,0.00+0.00im,0.00+0.00im,0.00+0.00im
130,0.00+0.00im,0.00+0.00im,0.00+0.00im
131,-0.00+0.00im,0.00+0.00im,0.00+0.00im
132,-0.00+0.00im,0.00+0.00im,0.00+0.00im
133,0.00+0.00im,0.00+0.00im,-0.00+0.00im
134,0.00+0.00im,0.00+0.00im,-0.00+0.00im
135,0.00+0.00im,0.00+0.00im,-0.00+0.00im
136,0.00+0.00im,0.00+0.00im,-0.00+0.00im
137,0.00+0.00im,0.00+0.00im,-0.00+0.00im
138,0.00+0.00im,0.00+0.00im,-0.00+0.00im
139,-0.00+0.00im,0.00+0.00im,0.00+0.00im
