base,judge,R,Y/X,θ
1,F,0.0,0.00,0.00
2,T,1.0,1.00,90.00
3,T,2.0,0.00,0.00
4,T,2.0,1.00,0.00
5,T,2.0,1.00,63.64
6,T,2.0,1.00,90.00
7,T,3.0,0.00,0.00
8,T,3.0,0.58,0.00
9,T,3.0,0.58,60.00
10,T,3.0,0.58,90.00
11,T,3.0,1.73,0.00
12,T,3.0,1.73,34.64
13,T,3.0,1.73,69.28
14,T,3.0,1.73,90.00
15,T,4.0,0.00,0.00
16,T,4.0,0.41,0.00
17,T,4.0,0.41,58.80
18,T,4.0,0.41,90.00
19,T,4.0,1.00,0.00
20,T,4.0,1.00,31.82
21,T,4.0,1.00,63.64
22,T,4.0,1.00,90.00
23,T,4.0,2.41,0.00
24,T,4.0,2.41,24.35
25,T,4.0,2.41,48.71
26,T,4.0,2.41,73.06
27,T,4.0,2.41,90.00
28,T,5.0,0.00,0.00
29,T,5.0,0.32,0.00
30,T,5.0,0.32,58.25
31,T,5.0,0.32,90.00
32,T,5.0,0.73,0.00
33,T,5.0,0.73,30.62
34,T,5.0,0.73,61.25
35,T,5.0,0.73,90.00
36,T,5.0,1.38,0.00
37,T,5.0,1.38,22.25
38,T,5.0,1.38,44.50
39,T,5.0,1.38,66.75
40,T,5.0,1.38,90.00
41,T,5.0,3.08,0.00
42,T,5.0,3.08,18.93
43,T,5.0,3.08,37.85
44,T,5.0,3.08,56.78
45,T,5.0,3.08,75.71
46,T,5.0,3.08,90.00
47,T,6.0,0.00,0.00
48,T,6.0,0.27,0.00
49,T,6.0,0.27,57.96
50,T,6.0,0.27,90.00
51,T,6.0,0.58,0.00
52,T,6.0,0.58,30.00
53,T,6.0,0.58,60.00
54,T,6.0,0.58,90.00
55,T,6.0,1.00,0.00
56,T,6.0,1.00,21.21
57,T,6.0,1.00,42.43
58,T,6.0,1.00,63.64
59,T,6.0,1.00,84.85
60,T,6.0,1.00,90.00
61,T,6.0,1.73,0.00
62,T,6.0,1.73,17.32
63,T,6.0,1.73,34.64
64,T,6.0,1.73,51.96
65,T,6.0,1.73,69.28
66,T,6.0,1.73,86.60
67,T,6.0,1.73,90.00
68,T,6.0,3.73,0.00
69,T,6.0,3.73,15.53
70,T,6.0,3.73,31.06
71,T,6.0,3.73,46.59
72,T,6.0,3.73,62.12
73,T,6.0,3.73,77.65
74,T,6.0,3.73,90.00
75,T,7.0,0.00,0.00
76,T,7.0,0.23,0.00
77,T,7.0,0.23,57.78
78,T,7.0,0.23,90.00
79,T,7.0,0.48,0.00
80,T,7.0,0.48,29.63
81,T,7.0,0.48,59.27
82,T,7.0,0.48,90.00
83,T,7.0,0.80,0.00
84,T,7.0,0.80,20.62
85,T,7.0,0.80,41.24
86,T,7.0,0.80,61.86
87,T,7.0,0.80,82.49
88,T,7.0,0.80,90.00
89,T,7.0,1.25,0.00
90,T,7.0,1.25,16.44
91,T,7.0,1.25,32.89
92,T,7.0,1.25,49.33
93,T,7.0,1.25,65.78
94,T,7.0,1.25,82.22
95,T,7.0,1.25,90.00
96,T,7.0,2.08,0.00
97,T,7.0,2.08,14.27
98,T,7.0,2.08,28.54
99,T,7.0,2.08,42.81
100,T,7.0,2.08,57.08
101,T,7.0,2.08,71.35
102,T,7.0,2.08,85.62
103,T,7.0,2.08,90.00
104,T,7.0,4.38,0.00
105,T,7.0,4.38,13.19
106,T,7.0,4.38,26.38
107,T,7.0,4.38,39.56
108,T,7.0,4.38,52.75
109,T,7.0,4.38,65.94
110,T,7.0,4.38,79.13
111,T,7.0,4.38,90.00
112,T,8.0,0.00,0.00
113,T,8.0,0.20,0.00
114,T,8.0,0.20,57.67
115,T,8.0,0.20,90.00
116,T,8.0,0.41,0.00
117,T,8.0,0.41,29.40
118,T,8.0,0.41,58.80
119,T,8.0,0.41,90.00
120,T,8.0,0.67,0.00
121,T,8.0,0.67,20.25
122,T,8.0,0.67,40.50
123,T,8.0,0.67,60.75
124,T,8.0,0.67,81.00
125,T,8.0,0.67,90.00
126,T,8.0,1.00,0.00
127,T,8.0,1.00,15.91
128,T,8.0,1.00,31.82
129,T,8.0,1.00,47.73
130,T,8.0,1.00,63.64
131,T,8.0,1.00,79.55
132,T,8.0,1.00,90.00
133,T,8.0,1.50,0.00
134,T,8.0,1.50,13.53
135,T,8.0,1.50,27.06
136,T,8.0,1.50,40.59
137,T,8.0,1.50,54.12
138,T,8.0,1.50,67.65
139,T,8.0,1.50,81.18
140,T,8.0,1.50,90.00
141,T,8.0,2.41,0.00
142,T,8.0,2.41,12.18
143,T,8.0,2.41,24.35
144,T,8.0,2.41,36.53
145,T,8.0,2.41,48.71
146,T,8.0,2.41,60.88
147,T,8.0,2.41,73.06
148,T,8.0,2.41,85.24
149,T,8.0,2.41,90.00
150,T,8.0,5.03,0.00
151,T,8.0,5.03,11.47
152,T,8.0,5.03,22.94
153,T,8.0,5.03,34.41
154,T,8.0,5.03,45.88
155,T,8.0,5.03,57.35
156,T,8.0,5.03,68.82
157,T,8.0,5.03,80.29
158,T,8.0,5.03,90.00
159,T,9.0,0.00,0.00
160,T,9.0,0.18,0.00
161,T,9.0,0.18,57.59
162,T,9.0,0.18,90.00
163,T,9.0,0.36,0.00
164,T,9.0,0.36,29.24
165,T,9.0,0.36,58.48
166,T,9.0,0.36,90.00
167,T,9.0,0.58,0.00
168,T,9.0,0.58,20.00
169,T,9.0,0.58,40.00
170,T,9.0,0.58,60.00
171,T,9.0,0.58,80.00
172,T,9.0,0.58,90.00
173,T,9.0,0.84,0.00
174,T,9.0,0.84,15.56
175,T,9.0,0.84,31.11
176,T,9.0,0.84,46.67
177,T,9.0,0.84,62.23
178,T,9.0,0.84,77.79
179,T,9.0,0.84,90.00
180,T,9.0,1.19,0.00
181,T,9.0,1.19,13.05
182,T,9.0,1.19,26.11
183,T,9.0,1.19,39.16
184,T,9.0,1.19,52.22
185,T,9.0,1.19,65.27
186,T,9.0,1.19,78.32
187,T,9.0,1.19,90.00
188,T,9.0,1.73,0.00
189,T,9.0,1.73,11.55
190,T,9.0,1.73,23.09
191,T,9.0,1.73,34.64
192,T,9.0,1.73,46.19
193,T,9.0,1.73,57.74
194,T,9.0,1.73,69.28
195,T,9.0,1.73,80.83
196,T,9.0,1.73,90.00
197,T,9.0,2.75,0.00
198,T,9.0,2.75,10.64
199,T,9.0,2.75,21.28
200,T,9.0,2.75,31.93
201,T,9.0,2.75,42.57
202,T,9.0,2.75,53.21
203,T,9.0,2.75,63.85
204,T,9.0,2.75,74.49
205,T,9.0,2.75,85.13
206,T,9.0,2.75,90.00
207,T,9.0,5.67,0.00
208,T,9.0,5.67,10.15
209,T,9.0,5.67,20.31
210,T,9.0,5.67,30.46
211,T,9.0,5.67,40.62
212,T,9.0,5.67,50.77
213,T,9.0,5.67,60.93
214,T,9.0,5.67,71.08
215,T,9.0,5.67,81.23
216,T,9.0,5.67,90.00
217,T,10.0,0.00,0.00
218,T,10.0,0.16,0.00
219,T,10.0,0.16,57.53
220,T,10.0,0.16,90.00
221,T,10.0,0.32,0.00
222,T,10.0,0.32,29.12
223,T,10.0,0.32,58.25
224,T,10.0,0.32,90.00
225,T,10.0,0.51,0.00
226,T,10.0,0.51,19.82
227,T,10.0,0.51,39.65
228,T,10.0,0.51,59.47
229,T,10.0,0.51,79.30
230,T,10.0,0.51,90.00
231,T,10.0,0.73,0.00
232,T,10.0,0.73,15.31
233,T,10.0,0.73,30.62
234,T,10.0,0.73,45.94
235,T,10.0,0.73,61.25
236,T,10.0,0.73,76.56
237,T,10.0,0.73,90.00
238,T,10.0,1.00,0.00
239,T,10.0,1.00,12.73
240,T,10.0,1.00,25.46
241,T,10.0,1.00,38.18
242,T,10.0,1.00,50.91
243,T,10.0,1.00,63.64
244,T,10.0,1.00,76.37
245,T,10.0,1.00,90.00
246,T,10.0,1.38,0.00
247,T,10.0,1.38,11.12
