base ,judge ,R    ,Y/X  ,θ     ,E                     ,ol1  ,ol2   ,ol3   ,ol4   ,ol5   ,ol6   ,ol7   ,ol8
   1 ,F     , 0.0 ,0.00 , 0.00 ,-80.18                ,0.54 ,-0.41 ,0.45  ,0.00  ,-0.34 ,-0.35 ,-0.21 ,0.12
   2 ,T     , 1.0 ,1.00 ,90.00 ,-75.63                ,0.72 ,-0.22 ,0.07  ,-0.00 ,0.05  ,0.19  ,0.21  ,-0.14
   3 ,T     , 2.0 ,0.00 , 0.00 ,-28.64                ,0.01 ,0.05  ,0.05  ,0.00  ,0.07  ,-0.11 ,0.11  ,-0.08
   4 ,T     , 2.0 ,1.00 , 0.00 ,-28.64                ,0.01 ,0.05  ,0.05  ,0.00  ,0.07  ,-0.11 ,0.11  ,-0.08
   5 ,T     , 2.0 ,1.00 ,63.64 ,-78.21                ,0.76 ,-0.21 ,0.05  ,-0.00 ,0.07  ,0.21  ,0.22  ,-0.14
   6 ,T     , 2.0 ,1.00 ,90.00 ,-78.21                ,0.75 ,-0.21 ,0.05  ,-0.00 ,0.07  ,0.21  ,0.22  ,-0.14
   7 ,T     , 3.0 ,0.00 , 0.00 ,-35.19                ,0.01 ,0.06  ,0.06  ,0.00  ,0.09  ,-0.13 ,0.13  ,-0.10
   8 ,T     , 3.0 ,0.58 , 0.00 ,-34375590787319732.00 ,0.00 ,-0.00 ,-0.00 ,0.00  ,0.00  ,0.00  ,-0.00 ,-0.00
   9 ,T     , 3.0 ,0.58 ,60.00 ,-81.47                ,0.81 ,-0.17 ,-0.00 ,-0.00 ,0.11  ,0.22  ,0.24  ,-0.13
  10 ,T     , 3.0 ,0.58 ,90.00 ,-81.44                ,0.81 ,-0.17 ,-0.00 ,-0.00 ,0.11  ,0.22  ,0.24  ,-0.13
  11 ,T     , 3.0 ,1.73 , 0.00 ,-35.19                ,0.01 ,0.06  ,0.06  ,0.00  ,0.09  ,-0.13 ,0.13  ,-0.10
  12 ,T     , 3.0 ,1.73 ,34.64 ,-71.01                ,0.69 ,-0.07 ,-0.02 ,-0.00 ,0.15  ,0.08  ,0.26  ,-0.04
  13 ,T     , 3.0 ,1.73 ,69.28 ,-81.43                ,0.81 ,-0.17 ,-0.00 ,-0.00 ,0.11  ,0.22  ,0.24  ,-0.13
  14 ,T     , 3.0 ,1.73 ,90.00 ,-81.57                ,0.81 ,-0.18 ,0.00  ,-0.00 ,0.11  ,0.23  ,0.23  ,-0.14
  15 ,T     , 4.0 ,0.00 , 0.00 ,-43.18                ,0.01 ,0.07  ,0.09  ,0.00  ,0.11  ,-0.17 ,0.16  ,-0.14
  16 ,T     , 4.0 ,0.41 , 0.00 ,-43.19                ,0.01 ,0.07  ,0.09  ,0.00  ,0.11  ,-0.17 ,0.16  ,-0.14
